Symbol,Market Cap,Country,IPO Year,Volume,Sector,Industry
MUFG,1.07E+11,Japan,,1600993,Finance,Commercial Banks
TD,1.07E+11,Canada,,3189632,,
MDT,1.06E+11,United States,,5263343,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
TJX,1.04E+11,United States,,4237233,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DE,1.04E+11,United States,,1832024,Industrials,Industrial Machinery/Components
BMY,1.03E+11,United States,,14214925,Health Care,Biotechnology: Pharmaceutical Preparations
GILD,1.01E+11,United States,1992,6118211,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MMC,99181521105,United States,,1893795,Finance,Specialty Insurers
AZN,99105020000,United Kingdom,,4272030,Health Care,Biotechnology: Pharmaceutical Preparations
UBS,98783000000,Switzerland,2014,2755089,Finance,Major Banks
BP,98622968957,United Kingdom,,6363747,Energy,Integrated oil Companies
MDLZ,98351923928,United States,,5850121,Consumer Staples,Packaged Foods
ADP,97347615804,United States,,1905084,Technology,EDP Services
PGR,96607804973,United States,,2204007,Finance,Property-Casualty Insurers
LRCX,96371582080,United States,1984,1201620,Technology,Industrial Machinery/Components
PANW,96349374000,United States,,4562265,Technology,Computer peripheral equipment
AMT,95587157446,United States,,1712549,Real Estate,Real Estate Investment Trusts
ADI,94771092648,United States,,2841149,Technology,Semiconductors
CVS,94702719469,United States,,7249079,Consumer Staples,Retail-Drug Stores and Proprietary Stores
ETN,94654065000,Ireland,,1258907,Industrials,Industrial Machinery/Components
PBR,94570459150,Brazil,,9739685,Energy,Oil & Gas Production
REGN,94104046900,United States,1991,500528,Health Care,Biotechnology: Pharmaceutical Preparations
EQNR,94064120595,Norway,,2080967,Energy,Integrated oil Companies
SHOP,93108766480,Canada,2015,6411710,,
CB,92642266139,Switzerland,,1795100,Finance,Property-Casualty Insurers
VRTX,92181005412,United States,1991,972367,Health Care,Biotechnology: Pharmaceutical Preparations
C,91981165700,United States,,14731728,Finance,Major Banks
ABNB,91137969192,United States,2020,6822517,Consumer Discretionary,Hotels/Resorts
ZTS,87906498416,United States,2013,1899724,Health Care,Biotechnology: Pharmaceutical Preparations
CI,86823270112,United States,,2933208,Health Care,Medical Specialities
SNPS,86240649268,United States,1992,788643,Technology,EDP Services
MU,85822374253,United States,,10257485,Technology,Semiconductors
IBN,85399836402,India,,3549177,Finance,Commercial Banks
BSX,81965786373,United States,,4625504,Health Care,Medical/Dental Instruments
MELI,81750726566,Argentina,2007,311655,Consumer Discretionary,Business Services
FI,80718976945,United States,,3075966,Consumer Discretionary,Business Services
BX,80440761751,United States,2007,2392231,Finance,Investment Managers
DEO,79809093279,United Kingdom,,609113,Consumer Staples,Beverages (Production/Distribution)
CNI,77121639000,Canada,,908224,Industrials,Railroads
CME,77085295951,United States,2002,1614092,Finance,Investment Bankers/Brokers/Service
SO,76855945524,United States,,4375981,Utilities,Power Generation
KLAC,76264825892,United States,1980,871759,Technology,Electronic Components
ITW,75748020290,United States,,982066,Industrials,Industrial Machinery/Components
SHW,75463922654,United States,,1889993,Consumer Discretionary,RETAIL: Building Materials
EQIX,75375245793,United States,2000,382814,Real Estate,Real Estate Investment Trusts
RELX,75010611885,United Kingdom,2015,491447,Consumer Discretionary,Business Services
CDNS,74607562260,United States,,1515164,Technology,Computer Software: Prepackaged Software
GSK,74570423496,United Kingdom,2022,4075332,Health Care,Biotechnology: Pharmaceutical Preparations
INFY,73828263150,India,,5520952,Technology,EDP Services
ENB,73729680000,Canada,,3926673,Energy,Natural Gas Distribution
DUK,73471949030,United States,,3942703,Industrials,Railroads
MO,73151226437,United States,,7521752,Health Care, Medicinal Chemicals and Botanical Products 
WDAY,72785250000,United States,,2424682,Technology,EDP Services
NOC,72267355946,United States,,379409,Industrials,Industrial Machinery/Components
RACE,72013491725,Italy,2015,199603,Consumer Discretionary,Auto Manufacturing
ANET,71509478640,United States,2014,1800098,Telecommunications,Computer Communications Equipment
WM,71126112654,United States,,1756018,Utilities,Environmental Services
STLA,70859833976,United Kingdom,2014,5038786,Consumer Discretionary,Auto Manufacturing
HCA,70394790400,United States,2011,1373182,Health Care,Hospital/Nursing Management
VALE,70010727703,Brazil,,13795799,Basic Materials,Metal Mining
SLB,69804548235,France,,8871095,Energy,Oilfield Services/Equipment
MCO,69644310000,United States,,813861,Finance,Finance: Consumer Services
GD,69097484952,United States,,863943,Industrials,Marine Transportation
SMFG,68855541310,Japan,,1572192,Finance,Commercial Banks
CP,68833996000,Canada,,2139186,Industrials,Railroads
NTES,68772785776,China,,889333,Technology,Computer Software: Prepackaged Software
BDX,68730180224,United States,,1774958,Health Care,Medical/Dental Instruments
FDX,68640296235,United States,,1539921,Consumer Discretionary,Air Freight/Delivery Services
KKR,68623572737,United States,,2368433,Finance,Investment Managers
EOG,68619213667,United States,,3447808,Energy,Oil & Gas Production
TRI,67894800570,United States,,245454,,
ICE,67498875435,United States,2005,4207846,Finance,Investment Bankers/Brokers/Service
SAN,67002364684,Spain,,2437555,Finance,Commercial Banks
CNQ,66827055960,Canada,,2504591,,
AON,66561923895,United States,,577867,Finance,Specialty Insurers
ARM,66342892140,United Kingdom,2023,5702962,,
RTO,66117030000,United States,2022,1246877,Consumer Discretionary,Other Consumer Services
CSX,65647072983,United States,,9728994,Industrials,Railroads
CL,64708825835,United States,,3798538,Consumer Discretionary,Package Goods/Cosmetics
SNOW,63716257000,United States,2020,3820000,Technology,Computer Software: Prepackaged Software
MAR,63692842641,United States,,1546321,Consumer Discretionary,Hotels/Resorts
CMG,63682314617,United States,2006,142820,Consumer Discretionary,Restaurants
PYPL,63491677791,United States,,13833430,Consumer Discretionary,Business Services
BMO,63158851595,Canada,,457870,,
USB,62981151823,United States,,8818721,Finance,Major Banks
TGT,62629039788,United States,,3351799,Consumer Discretionary,Department/Specialty Retail Stores
ITUB,62354300813,Brazil,,10046955,Finance,Major Banks
MCK,61493496818,United States,,679779,Health Care,Other Pharmaceuticals
LULU,60979315969,Canada,2007,1715793,Consumer Discretionary,Apparel
CRWD,59687992028,United States,2019,2976235,Technology,Computer Software: Prepackaged Software
APD,59405013469,United States,,1283823,Industrials,Major Chemicals
HUM,59331980397,United States,,1645446,Health Care,Medical Specialities
BTI,58359339402,United Kingdom,1998,5344062,Health Care, Medicinal Chemicals and Botanical Products 
MNST,58056627218,United States,,4122351,Consumer Staples,Beverages (Production/Distribution)
ROP,58053547705,United States,1992,693531,Industrials,Industrial Machinery/Components
SCCO,57851856395,United States,,732706,Basic Materials,Metal Mining
ORLY,57552372218,United States,1993,281745,Consumer Discretionary,Auto & Home Supply Stores
CTAS,57498686693,United States,1983,336343,Consumer Discretionary,Apparel
E,57465241566,Italy,,1282303,Energy,Oil & Gas Production
AMX,57309125000,Mexico,2023,698639,Telecommunications,Telecommunications Equipment
APH,57114694651,United States,,2279765,Technology,Electrical Products
MMM,56645635417,United States,,4674306,Health Care,Medical/Dental Instruments
PH,56635997494,United States,,518479,Industrials,Metal Fabrications
BN,56593080190,Canada,1925,1494916,Consumer Discretionary,Other Consumer Services
EPD,56490572868,United States,,4715484,Utilities,Natural Gas Distribution
NXPI,56483672148,Netherlands,2010,1847194,Technology,Semiconductors
PNC,56106345344,United States,,1317372,Finance,Major Banks
TDG,55335676501,United States,2006,209531,Industrials,Military/Government/Technical
ECL,55322827876,United States,,1322312,Consumer Discretionary,Package Goods/Cosmetics
HMC,55266681399,Japan,,745514,Consumer Discretionary,Auto Manufacturing
PSX,55091237102,United States,,3484514,Energy,Integrated oil Companies
ING,54854661087,Netherlands,1997,1646914,Finance,Commercial Banks
BBVA,54753458401,Spain,,678670,Finance,Commercial Banks
MSI,54596993155,United States,,464434,Technology,Radio And Television Broadcasting And Communications Equipment
TT,54458937890,Ireland,,1146204,Industrials,Auto Parts:O.E.M.
MPC,54437198603,United States,,2930204,Energy,Integrated oil Companies
BNS,54425611349,Canada,,2262636,Finance,Major Banks
CHTR,54295620179,United States,,968812,Telecommunications,Cable & Other Pay Television Services
FCX,53659428470,United States,,13634930,Basic Materials,Metal Mining
AJG,53454681000,United States,,683448,Finance,Specialty Insurers
PFH,53026937117,United States,2020,44751,Finance,Life Insurance
APO,52843617334,United States,,1323025,Finance,Investment Managers
TEAM,52127881034,Australia,2015,1866113,Technology,Computer Software: Prepackaged Software
RSG,51968511201,United States,1998,684749,Utilities,Environmental Services
EMR,51559844000,United States,,2905674,Technology,Consumer Electronics/Appliances
PXD,51393280968,United States,,2462352,Energy,Oil & Gas Production
PCAR,51067894454,United States,,2122342,Consumer Discretionary,Auto Manufacturing
PCG,50984859263,United States,,13665810,Utilities,Power Generation
NSC,50263322958,United States,,1066222,Industrials,Railroads
WPP,49883217611,Ireland,,142740,Consumer Discretionary,Advertising
DELL,49804961759,United States,2018,3436271,Technology,Computer Manufacturing
CCI,49427519716,United States,,3240329,Real Estate,Real Estate Investment Trusts
AFL,49292443637,United States,,2814558,Finance,Accident &Health Insurance
OXY,48904599995,United States,,23296366,Energy,Oil & Gas Production
EL,48878266138,United States,1995,2438796,Consumer Discretionary,Package Goods/Cosmetics
ADSK,48759859181,United States,,1369289,Technology,Computer Software: Prepackaged Software
MCHP,48277471941,United States,1993,3941581,Technology,Semiconductors
MET,48260402931,United States,2000,2902116,Finance,Life Insurance
AESC,48146327617,United States,,3879,Utilities,Electric Utilities: Central
PSA,48003272226,United States,,929643,Real Estate,Real Estate Investment Trusts
WELL,47486864121,United States,,2140746,Real Estate,Real Estate Investment Trusts
CPRT,47406626292,United States,1994,3966342,Consumer Discretionary,Other Specialty Stores
CARR,47263493795,United States,2020,3817186,Industrials,Industrial Machinery/Components
AZO,47059996153,United States,,113241,Consumer Discretionary,Auto & Home Supply Stores
AIG,47001600964,United States,,5163916,Finance,Life Insurance
MRVL,46907770000,United States,2000,7183713,Technology,Semiconductors
DHI,46579175485,United States,,2686989,Consumer Discretionary,Homebuilding
CRH,46482618466,Ireland,,5430245,Industrials,Building Materials
SRE,46475877083,United States,,3231597,Utilities,Oil/Gas Transmission
DXCM,46040318095,United States,2005,2564273,Health Care,Medical/Dental Instruments
COF,45812058084,United States,1994,3666155,Finance,Major Banks
HLT,45795109667,United States,2016,2050756,Consumer Discretionary,Hotels/Resorts
GM,45768061905,United States,2010,22488912,Consumer Discretionary,Auto Manufacturing
PAYX,45717570899,United States,1983,1406459,Consumer Discretionary,Diversified Commercial Services
KHC,45700831738,United States,,9353635,Consumer Staples,Packaged Foods
KDP,45683640485,United States,,5925113,Consumer Staples,Beverages (Production/Distribution)
ROST,45601445730,United States,1985,1967296,Consumer Discretionary,Clothing/Shoe/Accessory Stores
BSBR,45583954041,Brazil,2009,505104,Finance,Commercial Banks
TFC,45478081426,United States,,7115930,Finance,Major Banks
IDXX,45266499658,United States,1991,431049,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABEV,44888118025,Brazil,2013,4826488,Consumer Staples,Beverages (Production/Distribution)
F,44672971517,United States,,40142122,Consumer Discretionary,Auto Manufacturing
SPG,43877014574,United States,,1330495,Real Estate,Real Estate Investment Trusts
EW,43777170000,United States,,6581011,Health Care,Industrial Specialties
MFG,43663317862,Japan,,500626,Finance,Major Banks
TAK,43596145105,Japan,2018,1264857,Health Care,Biotechnology: Pharmaceutical Preparations
STM,43593445749,Switzerland,,1555794,Technology,Semiconductors
STZ,43318650985,United States,,1273709,Consumer Staples,Beverages (Production/Distribution)
SGEN,43184885621,United States,2001,12254640,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SQ,42722450010,United States,2015,6404765,Technology,Computer Software: Prepackaged Software
FTNT,42265744549,United States,2009,7814661,Technology,Computer peripheral equipment
TEL,42110591763,Switzerland,,1019968,Technology,Electronic Components
AEP,42070050640,United States,,3096782,Utilities,Electric Utilities: Central
TRV,41947842252,United States,,935291,Finance,Property-Casualty Insurers
WMB,41859719304,United States,,8969784,Utilities,Natural Gas Distribution
ODFL,41707603105,United States,1991,1041249,Industrials,Trucking Freight/Courier Services
ET,41672122923,United States,,12857616,Utilities,Natural Gas Distribution
MSCI,41603547764,United States,,319397,Consumer Discretionary,Business Services
HES,41404046464,United States,,3740065,Energy,Integrated oil Companies
VLO,41160760688,United States,,4041508,Energy,Integrated oil Companies
KMB,41151078127,United States,,1650720,Consumer Discretionary,Containers/Packaging
COR,40935281335,United States,,831488,Health Care,Other Pharmaceuticals
DLR,40875946587,United States,2004,2572038,Real Estate,Real Estate Investment Trusts
CNC,40780904340,United States,,5290108,Health Care,Medical Specialities
GWW,40753111541,United States,,210917,Industrials,Office Equipment/Supplies/Services
LNG,40698696210,United States,2001,1102079,Utilities,Oil/Gas Transmission
NUE,40258594476,United States,,1063321,Industrials,Steel/Iron Ore
DASH,40219079710,United States,,4789105,Industrials,Industrial Machinery/Components
CM,40146757377,Canada,,824601,Finance,Commercial Banks
LEN,39960393956,United States,,1597926,Consumer Discretionary,Homebuilding
D,39873366138,United States,,6744663,Utilities,Electric Utilities: Central
ADM,39779573998,United States,,2588136,Consumer Staples,Packaged Foods
KVUE,39736148014,United States,2023,17753829,Consumer Discretionary,Specialty Chemicals
IQV,39680975000,United States,2013,1119298,Health Care,Biotechnology: Commercial Physical & Biological Resarch
JD,39570583073,China,2014,12026508,Consumer Discretionary,Other Specialty Stores
BIDU,39554204638,China,2005,1600008,Technology,Computer Software: Programming Data Processing
TRP,39530440000,Canada,,3349174,Utilities,Natural Gas Distribution
O,39439360125,United States,,5005507,Real Estate,Real Estate Investment Trusts
EXC,39260051687,United States,,5695696,Utilities,Power Generation
GIS,38794575743,United States,,3841197,Consumer Staples,Packaged Foods
OKE,38483301488,United States,,3787867,Utilities,Oil & Gas Production
SPOT,38464710000,Luxembourg,2018,1254453,Consumer Discretionary,Broadcasting
SU,38401842820,Canada,,4338857,Energy,Integrated oil Companies
BK,38384447305,United States,,3382246,Finance,Major Banks
KMI,38276167126,United States,2011,16087106,Utilities,Natural Gas Distribution
HLN,38092617057,United Kingdom,2022,4585330,Consumer Discretionary,Package Goods/Cosmetics
PLTR,38079813958,United States,2020,46108200,Technology,Retail: Computer Software & Peripheral Equipment
MFC,38014380000,Canada,,4825305,Finance,Life Insurance
LHX,37966807277,United States,,1734411,Industrials,Industrial Machinery/Components
ALL,37777144559,United States,,1809464,Finance,Property-Casualty Insurers
HSY,37768769603,United States,,1354104,Consumer Staples,Specialty Foods
EA,37744061508,United States,,1551963,Technology,Computer Software: Prepackaged Software
A,37682314890,United States,1999,1453450,Industrials,Biotechnology: Laboratory Analytical Instruments
DDOG,37671964490,United States,2019,1939070,Technology,EDP Services
WDS,37519295475,Australia,2022,1757507,Energy,Oil & Gas Production
WCN,37487132433,Canada,,1486534,Utilities,Environmental Services
AMP,37465866164,United States,,511529,Finance,Investment Managers
FERG,37296882942,United Kingdom,2021,840421,Miscellaneous,Miscellaneous
AME,37237055320,United States,,1358801,Industrials,Industrial Machinery/Components
SYY,37126820712,United States,,2063048,Consumer Discretionary,Food Distributors
PRU,36886980000,United States,2001,1796236,Finance,Life Insurance
BCE,36700793641,Canada,,1704748,,
CEG,36566009001,United States,,1846150,Utilities,Electric Utilities: Central
LVS,36565598503,United States,2004,5659829,Consumer Discretionary,Hotels/Resorts
ALC,36558052000,Switzerland,2019,738725,Health Care,Ophthalmic Goods
FAST,36501872980,United States,1987,3857502,Consumer Discretionary,RETAIL: Building Materials
OTIS,36440405600,United States,2020,1616389,Technology,Consumer Electronics/Appliances
JCI,36186222608,Switzerland,,18479019,Industrials,Industrial Machinery/Components
CTSH,36126773939,United States,1998,2203038,Technology,EDP Services
BIIB,36085425812,United States,,1228832,Health Care,Biotechnology: Pharmaceutical Preparations
IT,35904689659,United States,1993,426496,Consumer Discretionary,Other Consumer Services
YUM,35899073607,United States,,1703059,Consumer Discretionary,Restaurants
MPLX,35803521493,United States,2012,1863830,Energy,Oil & Gas Production
LI,35688365352,China,2020,4098197,Consumer Discretionary,Auto Manufacturing
DOW,35644995845,United States,2019,4349646,Industrials,Major Chemicals
VRSK,35272329830,United States,2009,696457,Consumer Discretionary,Business Services
BBD,35012740050,Brazil,,18552418,Finance,Major Banks
TTD,34982691878,United States,2016,3958397,Technology,Computer Software: Programming Data Processing
CSGP,34661882676,United States,1998,1792677,Consumer Discretionary,Business Services
URI,34540071291,United States,1997,551583,Consumer Discretionary,Diversified Commercial Services
ARES,34444431281,United States,2014,607222,Finance,Investment Managers
PPG,34278246000,United States,,1998758,Consumer Discretionary,Paints/Coatings
FIS,34269251482,United States,,7215503,Consumer Discretionary,Business Services
ON,33762383845,United States,,6312460,Technology,Semiconductors
XEL,33749086070,United States,,3289916,Utilities,Power Generation
COIN,33403463831,United States,,8283822,Finance,Finance: Consumer Services
CMI,33263267000,United States,,515039,Industrials,Industrial Machinery/Components
GEHC,32800256277,United States,,2406110,Technology,Computer Software: Prepackaged Software
ROK,32531450887,United States,,838302,Industrials,Industrial Machinery/Components
BKR,32501354744,United States,,5850056,Industrials,Metal Fabrications
GPN,32137154347,United States,,1546573,Consumer Discretionary,Business Services
ORAN,31932085915,France,,207088,Telecommunications,Telecommunications Equipment
KR,31834487530,United States,,4237704,Consumer Staples,Food Chains
VICI,31791171587,United States,2018,4579691,Real Estate,Real Estate Investment Trusts
ED,31667010328,United States,,1351167,Utilities,Power Generation
CTVA,31578906490,United States,2019,4052538,Consumer Staples,Farming/Seeds/Milling
DKNG,31465950472,United States,2019,7857263,Consumer Discretionary,Services-Misc. Amusement & Recreation
ZS,31262756868,United States,2018,2301637,Technology,EDP Services
NDAQ,31254170757,United States,,2717823,Finance,Investment Bankers/Brokers/Service
PEG,31139660732,United States,,1612184,Utilities,Power Generation
GFS,30844365600,United States,2021,1974630,Technology,Semiconductors
HAL,30825581994,United States,,8379085,Energy,Oilfield Services/Equipment
RCL,30825083011,United States,1993,2227093,Consumer Discretionary,Marine Transportation
PUK,30560695846,United Kingdom,,573338,Finance,Life Insurance
DD,30494313108,United States,2017,2368798,Industrials,Major Chemicals
IMO,30265690772,Canada,1929,652174,,
SLF,30132113778,Canada,,622533,Finance,Life Insurance
IR,30060223438,United States,2017,2094831,Industrials,Industrial Machinery/Components
NEM,30019603290,United States,,11748876,Basic Materials,Precious Metals
ACGL,29958240855,Bermuda,,1372188,Finance,Property-Casualty Insurers
HPQ,29875364947,United States,,8907867,Technology,Computer Manufacturing
SATX,29856956647,,2022,12520,Technology,Radio And Television Broadcasting And Communications Equipment
PWR,29822629370,United States,,1050532,Industrials,Engineering & Construction
BBDO,29798076638,Brazil,,32676,Finance,Major Banks
MRNA,29755403048,United States,2018,5207441,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LYB,29721269260,Netherlands,,1438048,Industrials,Major Chemicals
MLM,29708230006,United States,1994,319825,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CVE,29697554250,Canada,,14844782,,
HBANM,29540731897,United States,,28085,Finance,Major Banks
NU,29520000000,Cayman Islands,2021,26850647,Finance,Finance: Consumer Services
CCEP,29457925462,United Kingdom,,2507970,Consumer Staples,Beverages (Production/Distribution)
EXR,29376068371,United States,2004,946765,Real Estate,Real Estate Investment Trusts
VMC,29351731188,United States,,619753,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CHT,29206786261,Taiwan,,162674,Telecommunications,Telecommunications Equipment
CDW,29152455502,United States,2013,940699,Consumer Discretionary,Catalog/Specialty Distribution
EFX,28898030475,United States,,1067300,Finance,Finance: Consumer Services
GOLD,28685245820,Canada,,13439203,Basic Materials,Precious Metals
FICO,28648449546,United States,,160561,Consumer Discretionary,Business Services
MPWR,28546927840,United States,2004,339842,Technology,Semiconductors
CPNG,28497332734,United States,2021,8679569,Consumer Discretionary,Durable Goods
MDB,28372306935,United States,2017,1288050,Technology,Computer Software: Prepackaged Software
VEEV,28203501079,United States,2013,1768673,Technology,Computer Software: Prepackaged Software
DVN,27767938000,United States,1985,11433905,Energy,Oil & Gas Production
